#data are from http://arxiv.org/abs/1701.07065
# cen dN/dy  dN/dy_err   pi^+, pi^-, K^+, K^-, p, pbar  
2.5 161.4   17.8   165.8   18.3   29.6   2.9   18.8   1.9   34.2   4.5   4.2   0.5  
7.5 130.3   14.4   133.7   14.7   24.3   2.4   15.5   1.6   29.3   3.8   3.4   0.4  
15  99.3   10.9   102.1   11.3   18.0   1.8   11.6   1.2   21.9   2.9   2.7   0.4  
25  67.1   7.4   68.8   7.6   12.3   1.2   7.9   0.8   14.6   1.9   1.9   0.3  
35. 44.8   4.9   46.0   5.1   7.8   0.8   5.2   0.5   9.2   1.2   1.4  0.2  
45. 28.1   3.1   28.9   3.2   4.7   0.5   3.2   0.3   5.8   0.8   0.95   0.1  
55. 17.1   1.9   17.6   1.9   2.7   0.3   1.8   0.2   3.3   0.4   0.6   0.1  
65. 9.5   1.0   9.7   1.1   1.3   0.1   0.9   0.1   1.8   0.2   0.35   0.05  
75. 5.0   0.6   5.2   0.6   0.65   0.06   0.45   0.04   0.8   0.1   0.18   0.02  
