#@article Abelev:2008ab
# cen   pi^+  pi^-  K^+  K^-  p  pbar
2.5  0.427  0.022  0.422  0.022  0.720  0.074  0.719  0.074  1.104  0.110  1.103  0.114
7.5  0.422  0.021  0.418  0.021  0.703  0.064  0.704  0.064  1.071  0.098  1.070  0.098 
15   0.421  0.021  0.416  0.021  0.681  0.055  0.680  0.055  1.017  0.082  1.017  0.082 
25   0.411  0.021  0.408  0.021  0.668  0.047  0.668  0.047  0.989  0.071  0.989  0.071 
35   0.404  0.021  0.402  0.021  0.643  0.042  0.643  0.042  0.939  0.062  0.939  0.062 
45   0.395  0.020  0.395  0.020  0.619  0.037  0.619  0.037  0.897  0.055  0.895  0.055 
55   0.389  0.020  0.389  0.020  0.608  0.036  0.609  0.036  0.864  0.052  0.863  0.052 
65   0.377  0.019  0.377  0.019  0.583  0.033  0.583  0.033  0.817  0.047  0.814  0.047 
75   0.367  0.018  0.363  0.018  0.553  0.035  0.550  0.035  0.749  0.049  0.746  0.049 
