#data are from http://arxiv.org/abs/1701.07065
# cen <p_T>  <p_T>_err   pi^+, pi^-, K^+, K^-, p, pbar
2.5  0.397  0.024   0.392  0.024    0.590  0.036   0.571  0.035   0.812  0.049   0.834  0.076 
7.5  0.395  0.024   0.391  0.024    0.578  0.035   0.562  0.034   0.811  0.049   0.810  0.073 
15.  0.395  0.024   0.391  0.024    0.575  0.035   0.559  0.034   0.787  0.047   0.789  0.071 
25.  0.390  0.024   0.388  0.023    0.565  0.034   0.543  0.033   0.772  0.047   0.758  0.069 
35.  0.385  0.023   0.383  0.023    0.557  0.034   0.537  0.033   0.733  0.044   0.732  0.066 
45.  0.380  0.023   0.379  0.023    0.533  0.032   0.519  0.032   0.700  0.042   0.692  0.063 
55.  0.370  0.022   0.373  0.023    0.520  0.032   0.501  0.030   0.659  0.040   0.647  0.059 
65.  0.360  0.022   0.366  0.022    0.502  0.031   0.483  0.029   0.637  0.038   0.610  0.055 
75.  0.352  0.021   0.354  0.021    0.490  0.030   0.469  0.029   0.599  0.036   0.577  0.052 
